source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,in_core_schema
onsemi,Company,INTEGRATES_WITH,Sineng Electric,Company,r00000::c0000,2023-05-16 02:09:00,Sineng Electric will integrate onsemi EliteSiC silic,1.0,False
Iridium Communications Inc,Company,PARTNERED_WITH,Smithsonian Institution,Organization,r00058::c0000,2022-12-14 14:02:00,Iridium Communications Inc. has created a first-of-its-kind program in support of the Smithsonian Institution's Movement of Life Initiative,1.0,True
Revolut,Company,CONSIDERING,crypto services for U.S. customers,Product,r00077::c0000,2023-08-04 17:14:00,Revolut will stop allowing U.S. customers to access cryptocurrencies,0.8,False
Attra,Company,PARTNERED_WITH,Synechron,Company,r00121::c0000,2023-01-10 08:00:00,Attra will operate under the Synechron brand as Synechron Payments following full integration within Synechron,1.0,True
Janet Zelenka,Person,WORKED_AT,Stericycle,Company,r00131::c0000,2023-05-30 21:34:00,Janet Zelenka executive vice president chief financial officer and chief information officer has won the 2023 Bronze Stevie ® Award for Technology,1.0,True
Jim Love,Person,WORKED_AT,IT World Canada,Organization,r00141::c0000,2022-12-28 22:28:00,said Jim Love chief information officer (CIO) of IT World Canada.,1.0,True
Eseye,Company,INNOVATED_IN,integrated cellular IoT connectivity solutions,Technology,r00151::c0000,2023-02-01 22:18:00,Eseye a pioneer of integrated cellular IoT connectivity solutions today announced that Eseye has been positioned by Gartner® as a Visionary in the 2023 Magic Quadrant™ for Managed IoT Connectivity Services Worldwide for its advanced offering.,1.0,False
KPI Solutions,Company,LEADS,Chris Barber,Person,r00156::c0000,2023-06-05 18:04:00,Industry veteran Chris Barber leads the eastern regional team to provide sales and service that transforms companies’ distribution and fulfillment operations.,1.0,True
Synopsys,Company,PARTNERED_WITH,TSMC,Company,r00161::c0000,2023-05-17 07:40:00,EDA specialist Synopsys has recently announced its collaboration with TSMC to deliver digital and custom design EDA flows on the foundry's most advanced N2 (2nm) process aiming to meet stringent design targets on next-generation system-on-chips (SoCs).,1.0,True
KKR,Company,INVESTED_IN,CoolIT Systems,Company,r00166::c0000,2023-05-02 21:07:00,Investment firm will acquire CoolIT Systems which makes systems designed to prevent computing hardware from overheating.,0.9,True
Center for Information Technology in Education,Organization,FOUNDED,University of Houston College of Education,Organization,r00171::c0000,2023-05-01 14:16:00,The Center for Information Technology in Education (CITE) was established in 1989 at the University of Houston College of Education.,1.0,True
Systems Solution Inc,Company,FOUNDED,Systems Solution Inc,Company,r00192::c0000,2023-03-15 17:35:00,Systems Solution Inc. (SSI) a leading provider of IT solutions and consulting for business today announced that Systems Solution Inc. (SSI) are opening their new office in Wayne PA.,0.8,True
Data Innovations,Company,DEVELOPED,Test Properties,Product,r00197::c0000,2023-07-20 13:31:00,The first app to be developed within the DI Gateway framework part of IM 2023 is called Test Properties.,1.0,True
Data Innovations,Company,COMMITTED_TO,DI Gateway framework,Technology,r00197::c0000,2023-07-20 13:31:00,Moving forward all new DI lab automation and productivity web apps will be developed within this framework.,1.0,False
L&T Technology Services,Company,SELECTED_WITH,Qualcomm,Company,r00261::c0000,2023-02-23 10:51:00,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways.,1.0,False
Raleon,Company,FOUNDED,Nathan Snell,Person,r00269::c0000,2023-08-25 14:19:00,Nathan Snell co-founder and CEO of Wilmington-based Raleon said the six-person team will be hiring as the six-person team builds out its platform.,1.0,True
Keysight,Company,PARTNERED_WITH,Synopsys,Company,r00272::c0000,2023-09-21 16:15:00,Keysight and Synopsys Partner for IoT Device Cybersecurity.,1.0,True
MIT Technology Review,Organization,CITED_SOURCE,Insights,Organization,r00286::c0000,2023-07-13 23:30:00,This content was produced by Insights the custom content arm of MIT Technology Review.,1.0,False
Synechron,Company,PARTNERED_WITH,VisionGroup,Company,r00311::c0000,2023-07-12 08:11:00,Synechron and VisionGroup Partner to Leverage dataSense.,1.0,True
Synechron,Company,DEVELOPED,dataSense,Product,r00311::c0000,2023-07-12 08:11:00,Enhanced Data Management Tool for Upcoming Accelerator program,1.0,True
Y2 Solution,Company,PLANNED_RELEASE,EV Fast-Charging Infrastructure Expansion,Technology,r00316::c0000,2022-12-19 16:00:00,Y2 Solution Announces Plans for the EV Fast-Charging Infrastructure Expansion in the US.,0.7,False
Associated Press,Organization,PARTNERED_WITH,OpenAI,Organization,r00366::c0000,2023-07-13 00:00:00,The Associated Press and OpenAI have reached an agreement to share access to select news content and technology.,1.0,True
Community College of Allegheny County,Organization,BENEFITED_FROM_DEMAND,LevelUp412,Organization,r00368::c0000,2023-09-02 00:00:00,the classes are being offered through funding from LevelUp412.,1.0,False
Information Technology Services (ITS),Organization,PROVIDES_ACCESS_TO,Middlebury Institute community,Organization,r00378::c0000,2023-08-25 14:04:00,Information Technology Services (ITS) provides support to the entire Middlebury Institute community.,1.0,False
Middlebury Institute,Organization,PARTNERED_WITH,Middlebury College Network,Organization,r00378::c0000,2023-08-25 14:04:00,The Middlebury Institute is a part of the Middlebury College Network.,1.0,True
Salesforce,Company,INTEGRATES_WITH,Onfido,Company,r00393::c0000,2023-05-05 23:14:00,Salesforce is boosting its Know Your Customer (KYC) capabilities by integrating with Onfido,1.0,False
Aqara,Company,PARTNERED_WITH,Samsung,Company,r00395::c0000,2023-10-05 23:24:00,the smart home manufacturer has been working with Samsung to add the SmartThings compatibility to the sensor,1.0,True
Ryan Specialty,Company,ACQUIRED,Socius Insurance Services,Company,r00469::c0000,2023-05-23 20:15:00,Ryan Specialty has signed a definitive agreement to acquire Socius Insurance Services,1.0,True
L&T Technology Services,Company,PARTNERED_WITH,Palo Alto Networks,Company,r00471::c0000,2023-06-30 08:53:00,L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings,1.0,True
SoftBank,Organization,PARTNERED_WITH,Oasys,Company,r00481::c0000,2023-02-16 10:37:00,Japanese conglomerate SoftBank will become an official network validator on Oasys and will explore further collaborations with the gaming blockchain including the development of blockchain-based services.,0.9,True
O.W.L,Company,LAUNCHED,xSource AI Software Solution,Product,r00486::c0000,2023-03-30 22:10:00,O.W.L. Launches New xSource AI Software Solution at ISC West in Las Vegas.,0.9,False
Fidelity National Information Services Inc,Company,LISTED_WITH,NYSE:FIS,Product,r00595::c0000,2023-02-16 20:08:00,Headquartered in Jacksonville Florida Fidelity National Information Services Inc. (NYSE:FIS) is a financial technology solutions provider.,0.9,False
GSA,Organization,COMMITTED_TO,Providing Efficient Government Technology Services,Technology,r00605::c0000,2023-04-25 17:27:00,GSA Committed to Providing Efficient Government Technology Services Says Robin Carnahan.,0.8,False
Syntax Health Inc,Company,LAUNCHED,two-sided Enterprise SaaS-based Solution,Product,r00631::c0000,2023-06-08 13:15:00,Syntax Health Inc. an enterprise SaaS-based solution for health plans and providers that accelerates alignment in value-based care (VBC) today announced the launch of its dynamic platform,1.0,False
Lessen,Company,ACQUIRED,SMS Assist,Company,r00651::c0000,2023-01-25 22:12:00,Lessen Acquires SMS Assist Signaling A New Era for Property Technology and Services.,1.0,True
